EVTNAME46306;;
EVTDESC46306;x;
EVTOPTB810003;Дипломаты $FROMCOUNTRY_ADJ$ вместе с представителями других великих держав собрались в $CAPITAL$ для обсуждения вопроса о Датских проливах и, в частности, о Звуковых пошлинах. Ссылаясь на тот факт, что морские державы мира становятся все менее и менее терпимыми к этим сборам и ограничениям, они лоббируют отмену сборов и обязательство превратить все датские проливы в международные водные пути, свободные для всех военных и торговых судов. . В качестве компенсации за отмену государство $COUNTRY_ADJ$ получит единовременный сбор в размере 300 000¤. Хоть соглашение и дружеское, но великие державы ясно дали понять, что готовы применить силу, чтобы открыть проливы, если до этого дойдет.;
EVTNAME810004;Мы будем рады внести свой вклад в более справедливую торговлю.;
EVTDESC810004;Никогда. Плата за проезд слишком важна для $COUNTRY$.;
EVTOPTA810004;Плата за звук отменена;
EVTOPTB810004;В $YEAR$ после нескольких дней ожесточенных переговоров великие державы мира подписали в столице $FROMCOUNTRY_ADJ$ договор об отмене всех сборов в Датских проливах, превратив их в международные водные пути, свободные для всех военных и торговых судов. Правительству $FROMCOUNTRY_ADJ$ выплатить компенсацию в размере 300 000¤. $COUNTRY_ADJ$ выступает в качестве гаранта, выплачивая не менее одной трети от общей суммы, в то время как две другие европейские великие державы, делающие ставку на переговоры, должны будут заплатить оставшиеся две трети. После более чем четырех столетий взимания пошлин датские проливы теперь свободны для торговли.;
EVTNAME810005;Мы заплатим наш третий и ничего больше.;
EVTDESC810005;Нам больше никто не нужен. Мы можем оплатить все.;
EVTOPTA810005;Сборы звуков;
EVTOPTB810005;$FROMCOUNTRY$ призвало к соглашению об использовании Датских проливов, и мы, как одна из великих держав мира, обязаны были на нем присутствовать. После положительного решения дипломаты $FROMCOUNTRY_ADJ$ теперь пытаются собрать оставшиеся деньги для оплаты сделки, и они утверждают, что наши корабли и наша торговля в целом получат большую выгоду от открытия Датских проливов. На основании этого они утверждают, что мы должны внести свой вклад в компенсацию, причитающуюся датскому контролеру проливов. Мы, конечно, этим не связаны - можем отказаться, но это не только повредит нашему имиджу в глазах других стран, но и разозлит $FROMCOUNTRY$: они почувствуют, что мы им в долгу.;
EVTOPTC810005;Мы с радостью внесем свой вклад в свободную торговлю.;
EVTNAME810006;Можем ли мы платить по частям?;
EVTDESC810006;Мы отказываемся платить что-либо.;
EVTOPTA810006;$FROMCOUNTRY$ отказывается внести свой вклад;
EVTOPTB810006;Правительство $FROMCOUNTRY_ADJ$ отказалось внести свою лепту и помочь в выплате компенсаций за открытие Звукового Толя. Мы как поручители должны их убедить - либо покрыть расходы, а потом собрать деньги с $FROMCOUNTRY$.;
EVTOPTC810006;Мы заплатим то, что они должны. Они заплатят позже.;
EVTNAME810007;Платите понемногу.;
EVTDESC810007;Мы не покроем долг другой страны.;
EVTOPTA810007;Стенд $FROMCOUNTRY_ADJ$ Непокорный;
EVTNAME167000;Переговоры в столице $FROMCOUNTRY_ADJ$ прервались, так как рушится съезд, созванный $COUNTRY$. $FROMCOUNTRY$ заявило, что их право собственности на датские проливы дает им право регулировать проливы по своему усмотрению. Этот шаг, несомненно, вызовет гнев великих держав, которые стремились снести барьеры для морской торговли, и ситуация быстро перерастает в кризис.;
EVTDESC167000;Они заплатят за переход нас.;
EVT167000OPTA;Друзское восстание;
EVTNAME167010;Начиная с Крестьянского восстания 1834 года в Палестине, дворяне-друзы возмущались надзором. Их повелители считали их еретиками и относились к ним соответственно. В годы после крестьянского восстания требовался призыв на военную службу, чтобы укрепить то, что египетская армия потеряла в ходе восстания. В $YEAR$ ополченцы друзов восстали против своих египетских правителей в Хауране и нанесли поражение отряду из 400 человек во главе с Али Агой аль-Бусайли, губернатором Хаурана. Затем последовал ряд других небольших экспедиций, но они не смогли добиться решающей победы. Друзы из Горного Ливана наводнили силы друзов, поскольку стычки продолжались в течение следующих нескольких месяцев. Спустя несколько месяцев друзы потерпели решительное поражение в Вади-Бакка от египетских войск. После этого силы друзов в Палестине разграбили еврейский квартал Цфата, в то время как основные силы двинулись на юг, где были решительно разгромлены в Шебаа и вскоре сложили оружие.;
EVTDESC167010;Остановите это восстание любыми средствами.;
EVT167010OPTA;Конфликт на горе Ливан;
EVT167010OPTB;После многих лет рабства у хозяев-друзов и высоких налогов крестьяне-марониты восстали против своих хозяев на Горном Ливане. Их встретили нерегулярные друзы, которых поддержала знать. Конфликт охватил регион, в восточном Ливане произошло несколько массовых убийств, и кажется, что это только начало. Наши офицеры неохотно вмешиваются в христианские дела, но, тем не менее, перебрасывают свои силы в этот район. Что нам делать?;
EVTNAME167020;Этот мелкий конфликт нас не касается.;
EVTDESC167020;Мы должны остановить этот конфликт, пока он не закончился.;
EVT167020OPTA;$YEAR$ Гражданская война в Горном Ливане;
EVT167020OPTB;Новости о том, что Левант охвачен гражданской войной, достигли улиц Парижа. Христиане были убиты, а церкви сожжены дотла по всему Ливану и Дамаску. Османские силы не сделали ничего, чтобы подавить насилие и только наблюдают. В 1523 году Франция поклялась, что защитит христиан, живущих на Ближнем Востоке, от конфликтов, и европейские державы заставили нас оставаться верными своему слову. Что нам делать?;
EVTNAME167030;Отправьте силы для восстановления мира и разработайте постановление, чтобы это больше не повторилось.;
EVTDESC167030;К сожалению, в данный момент мы не можем вмешаться.;
EVT167030OPTA;Восстание хауранских друзов;
EVTNAME168000;Недавний экономический рост принес новый бизнес в район вокруг Джебель-ад-Друза на юге Сирии. Такое расширение обошлось дорого, поскольку необходимо взимать налоги, чтобы платить за железные дороги и другую инфраструктуру, что вызвало недовольство местных жителей. Хозяйственный спор между местным вождем друзов и торговцами, поддерживаемыми $COUNTRY_ADJ$. Наши офицеры собрали 35 батальонов и быстро положили конец восстанию, убив многих друзов, проживающих в этом районе, и разоружив тех, кто сдался.;
EVTDESC168000;Очень хорошо.;
EVT168000OPTA;Шелковый бум на горе Ливан;
EVTNAME168010;Благодаря особой защите, которую им гарантировали французы, экономика маронитов, движимая увеличением производства шелка, процветала. Карманы маронитов теперь были наполнены столь необходимыми деньгами, а вместе с ними пришло стремление к лучшему образованию и демографический бум. Впервые многие женщины получили индивидуальный доход и стали искать лучших условий как в своей работе, так и в общественной жизни.;
EVTDESC168010;Большой.;
EVT168010OPTA;Шелковый бюст горы Ливан;
EVTNAME168020;С открытием Суэцкого канала и увеличением экспорта шелка из азиатских земель цена ливанского шелка упала вдвое и так и не восстановилась. Демографический бум, который когда-то пережил Горный Ливан, привел к увеличению населения, которое больше не могло поддерживать себя на ливанской земле. Многие мужчины и женщины мигрировали на запад в поисках лучшей работы. Хотя некоторые из них вернулись спустя годы, многие навсегда осели в своих новых странах.;
EVTDESC168020;Проклятие.;
EVT168020OPTA;Баальбек: Древние руины;
EVTNAME168030;Посещая холмы вокруг ливанского города Баальбек, некоторые из наших соотечественников заметили большое количество римских руин, сохранившихся в сухой среде. Когда они вернулись с этой новостью, на место была отправлена ??группа археологов. Им удалось задокументировать и каталогизировать большое количество артефактов с этого сайта. Наиболее примечательные из них включают осколки персидской керамики, датируемые 6 веком до нашей эры. Эти черепки украшены клинописью.;
EVTDESC168030;Большой!;
EVT168030OPTA;Миссионеры в Бейруте;
EVTNAME168050;В начале 19 века Ливан посещало все больше западных миссионеров. Многие из этих миссионеров открыли школы и типографии в Бейруте, которые обслуживали христианское население города. Несмотря на этот недавний всплеск, образование не было новой концепцией для ливанских христиан. Сирийская типография была основана в 1610 году, а иезуиты основали школу в 1624 году. Американские миссионеры начали свою деятельность в 1834 году с еще одной типографии и школы. К середине 1840-х годов плантагеновские миссионеры отметили, что от четверти до трети мужчин в Ливане были грамотны, а к началу 20-го века почти половина всех ливанских детей умела читать — подвиг, с которым вряд ли можно было сравниться где-либо за пределами Запад в то время.;
EVTDESC168050;Большой!;
EVT168050OPTA;Катар просит защиты;
EVT168050OPTB;Верный нам кувейтский генерал привез шейху Катара несколько турецких флагов. Шейх раздал их членам своей семьи, которые летали на них по полуострову. Британцы, которые считали, что это было прямым делом турок, чувствовали, что их владения в Персидском заливе находятся под угрозой захвата Османской империей, и отправили канонерскую лодку к побережью Катара. В ответ на это шейх Катара направил своего представителя за запросом солдат и снаряжения.;
EVTNAME168060;Обещай им защиту.;
EVTDESC168060;Мы не можем гарантировать защиту.;
EVT168060OPTA;Катарские беспорядки;
EVTNAME168070;Бремя османской бюрократии и правления вызвало восстание катарской знати в нашем катарском владычестве. Наши официальные лица в Багдадском вилайете направили солдат для подавления этого восстания, которые осадили форт Аль-Ваджба. Наши солдаты не смогли взять форт и отступили к нашему форту в Шебаке, где его осадили катарцы. После того, как повстанцы перекрыли им подачу воды, наши солдаты сдались и получили возможность покинуть полуостров в обмен на освобождение катарских пленных.;
EVTDESC168070;Взрыв!;
EVT168070OPTA;Катар желает независимости;
EVT168070OPTB;Вопрос о нашем катарском владычестве вновь поднял свою уродливую голову. Каким будет будущее Катара?;
EVT168070OPTC;Катар будет независимым.;
EVTNAME110080;Отмените прямое правление, но потребуйте от них лояльности.;
EVTDESC110080;Они выбрали свою судьбу много лет назад.;
EVT110080OPTA;$FROMCOUNTRY$ ищет защиты;
EVT110080OPTB;«Я отдаю себя и свою страну правительству $COUNTRY_ADJ$ на определенных условиях, о которых мы можем договориться между вашим превосходительством и мной. Все те вещи, которые я отдал в твои руки... они все еще твои. Я по-прежнему остаюсь скромным слугой правителя $COUNTRY_ADJ$».\n\nПоскольку цивилизованные страны стремились расширить свою территорию, глава $FROMCOUNTRY$ стал все более опасаться потенциальной войны. Сегодня мы приняли делегатов $FROMCOUNTRY_ADJ$, ищущих защиты. В обмен на обещание не аннексировать их, они станут нашими верными подданными и примут нашу религию.;
EVTNAME6016814;Мы приветствуем наших новых субъектов.;
EVTDESC6016814;Они могут постоять за себя.;
EVT6016814OPTA;Удаление партийной лояльности;
EVTNAME97082;Это событие удалит всю лояльность к группе с самого начала игры.;
EVTDESC97082;Как и должно быть.;
EVT97082OPTA;Кризис в Тихом океане;
EVT97082OPTB;За последнее десятилетие было основано несколько компаний для разработки месторождений селитры на территории Боливии и Перу, в основном с участием британского капитала. Спрос на этот конкретный товар принес деньги и стабильность во многие страны Анд и впоследствии стал известен в некоторых из них как Эра Гуано. Однако эти компании базируются в Чили или имеют контрольный пакет акций в руках чилийских инвесторов, часто политиков. Вдобавок ко всему, чилийские рабочие постоянно пересекают границы, чтобы работать на этом вновь обретенном богатстве, побуждая чилийцев претендовать на эти месторождения. Отношения между заинтересованными странами охладели, и после провозглашения монополии на право разведки салитрерас, нового налога на иностранное производство нитрата натрия и экспроприации нескольких шахт война в регионе, похоже, разразится более чем вероятно. .;
EVT97082OPTC;Готовьтесь к войне.;
EVTDESC97083;Ставка наше время.;
EVTNAME97081;Нам ничего из этого не нужно. Не трогай проблему, пока проблема не трогает тебя.;
EVTDESC97081;За последнее десятилетие было основано несколько компаний для разработки месторождений селитры на территории Боливии и Перу, в основном с участием британского капитала. Спрос на этот конкретный товар принес деньги и стабильность во многие страны Анд и впоследствии стал известен в некоторых из них как Эра Гуано. Однако эти компании базируются в Чили или имеют контрольный пакет акций в руках чилийских инвесторов, часто политиков. Вдобавок ко всему, чилийские рабочие постоянно пересекают границы, чтобы работать на этом вновь обретенном богатстве, побуждая чилийцев претендовать на эти месторождения. Отношения между заинтересованными странами охладели, и после провозглашения монополии на право разведки салитрерас, нового налога на иностранное производство нитрата натрия и экспроприации нескольких шахт война в регионе, похоже, разразится более чем вероятно. . Сообщалось о нескольких наблюдениях чилийских кораблей, и если мы не примем меры сейчас, мы можем потерять свою территорию.;
EVT97081OPTA;Конец серебряной лихорадки;
EVTNAME9990001;В 1832 г. старатель Хуан Годой нашел обнажение серебра в 50 км к югу от Копиапу в Чакарсильо. Годой успешно заявил права на обнаруженное обнажение на свое имя, а также на имя Хосе Годоя и Мигеля Галло. Находка привлекла сюда тысячи людей и принесла значительные богатства. В период расцвета Чакарсильо здесь добывалось более 332 тонн серебряной руды, пока в 1874 году месторождения не начали истощаться. Но к 1855 году Копиапу уже пришел в упадок. В конце серебряной лихорадки богатые шахтеры диверсифицировали свои активы в банковское дело, сельское хозяйство, торговлю и коммерцию по всему региону и $COUNTRY$.;
EVTNAME9990003;Штопать.;
EVTNAME9990004;Территориальная интеграция;
EVTDESC9990003;Компания отказывается;
EVTNAME9990005;Компания соглашается;
EVTNAME9990006;Так и быть.;
EVTDESC9990006;Конец Британской Индии;
EVT9990007OPTA;Британская корона потерпела поражение;
EVTNAME9990008;EIC победил британскую корону ради Индии.;
EVTNAME9990010;Темный день.;
EVT9990010OPTA;Конец Ост-Индской компании;
EVT9990007OPTA;Новая игрушка;
EVT9990008OPTA;Аккуратный!;
EVT9990008OPTB;Это просто не выдержит.;
EVTNAME9990016;Посмотрим, как они попробуют!;
EVTDESC9990016;Мы будем соблюдать их пожелания.;
EVTOPTA9990016;Образование Ост-Индской компании;
EVTDESC15310;Ост-Индская компания — колониальная администрация Британской Индии.;
EVTNAME90141;Пусть Компания процветает.;
EVTDESC90141;Пока она идет по городу, уворачиваясь от теней, как от солдат $COUNTRY_ADJ$, освещенная башня с часами, кажется, смотрит на нее подлым, зараженным желтым глазом. Она уже опаздывает, но занятия еще продолжаются.\n\nВ $PROVINCENAME$ образовался подпольный университет, предоставляющий высшее образование, несмотря на запрет языков меньшинств в академических кругах.;
EVT90141OPTA;$FROMCOUNTRY_ADJ$-$COUNTRY_ADJ$ $CAPITAL$ Договор $YEAR$;
EVT90141OPTB;$FROMCOUNTRY$ пренебрегало оккупацией большой территории в заливе Биафра, на которую оно имело исторические права, а $COUNTRY_ADJ$ активно расширяло свою оккупацию за счет территории, на которую претендует $FROMCOUNTRY$. По крайней мере, они так утверждают, и другие великие державы, кажется, в основном с ними согласны. Было предложено урегулирование, при котором они получат часть того, на что они претендуют, и проблема будет решена. Согласно условиям договора, Рио-Муни будет освобожден от всех противоречивых требований. $FROMCOUNTRY$ останется всего лишь 26 000 км2 из 300 000 км2, простирающихся на восток до реки Убанги, на которые они первоначально претендовали. Мы, конечно, можем игнорировать все это, но наша репутация наверняка пострадает.;
EVT13370OPTA;У них будет своя земля.;
EVT13365OPTA;Так не пойдет.;
EVT13365OPTB;Во славу династии Цин!;
EVTDESC12080;Земля принадлежит нам!;
EVTDESC36941;Дезавуировать все сведения об их деятельности.;
EVTNAME31100;Среди скота в $PROVINCENAME$ вспыхнула странная лихорадка, сообщается о массовой гибели скота. Ветеринар местного гарнизона объехал всю провинцию, пытаясь выяснить, что можно сделать, чтобы предотвратить последствия этой, по-видимому, довольно заразной болезни. Хотя сама болезнь со временем исчезнет, ??вопрос о возмещении ущерба сотням разорившихся фермеров и их семей по-прежнему требует внимания.;
EVTDESC31100;Случилось так, что рабыня Хеке по имени Котиро жила в Корорареке с мясником по имени Лорд. Хеке, имеющий цветное право вернуть своего раба. Карере [посланник] был отправлен вперед, чтобы объявить о намерении, и сообщение было доставлено женщине в мясной лавке. Котиро, презрительно отвечая на их власть увести ее, указывая на одного из кабанов, сказал: ина а хеке [то есть хеке]. В любом случае Хеке использовал оскорбление как повод войти в город, чтобы потребовать от Господа плату в качестве компенсации за оскорбление. В удовлетворении было отказано: несколько дней Хеке и его воины оставались в городе, настаивая на требовании, а на самом деле нащупывая дорогу, испытывая пакеха. Затем они перешли к флагштоку, который намеренно срезали, намеренно с намерением оскорбить правительство и выразить свое презрение к власти $COUNTRY_ADJ$. флагшток в Корорареке неоднократно срубали в знак протеста.;
EVTNAME21527;Открытие Трои;
EVTDESC21527;Раскапывая эту стену дальше и прямо у дворца царя Приама, я наткнулся на большой медный предмет самой замечательной формы, который привлек мое внимание тем более, что мне показалось, что я увидел за ним золото. Чтобы изъять клад от жадности моих рабочих и сохранить его для археологии, я немедленно объявил обеденный перерыв и, пока люди ели и отдыхали, вырезал клад большим ножом. Однако мне было бы невозможно вывезти Сокровище без помощи моей дорогой жены, которая стояла рядом со мной, готовая упаковать вырезанные мною вещи в свою шаль и унести их.\n$COUNTRY_ADJ$ раскопал археолог остатки затерянного города Троя в Анатолии, а также другие многочисленные находки так называемых «эгейских цивилизаций». Найденные клады были названы «кладом Приама» и приобретены несколькими музеями $CAPITAL$. Эти открытия привели к взрыву талантов в археологии и захватили воображение миллионов.;
EVTNAME46800;$YEAR$ $PROVINCENAME$ Землетрясение;
EVTDESC46800;Бесчисленное количество людей вышли на открытые улицы, прежде чем разразился окончательный крах. Стены рухнули справа от них, крыши рухнули слева от них, карнизы и дымоходы рухнули перед ними, а смерть следовала за ними, чтобы уничтожить любого, кто колебался или останавливался. Другие бесчисленное множество опоздали или оказались в плену заклинивших дверей и упавших лестниц.\nВ $YEAR$ произошло землетрясение в $PROVINCENAME$, сильно повредившее здания. В то время как власти $COUNTRY_ADJ$ все еще подсчитывают раненых и подсчитывают стоимость ущерба, гуманитарная помощь медленно прибывает.;
EVTOPTA46800;Затерянный город инков;
