bourgeois_dictatorship_ruler;Директор Совета;x
fascist_dictatorship_ruler;Верховный лидер;x
absolute_monarchy_ruler;Король;x
prussian_constitutionalism_ruler;Король;x
hms_government_ruler;Король;x
democracy_ruler;Президент;x
islamic_fundamentalists_title;Исламские фундаменталисты;x
islamic_fundamentalists_name;Исламские фундаменталисты;x
islamic_fundamentalists_desc;Исламские фундаменталисты считают, что ислам основан на Коране, хадисах и сунне, и «критикуют традиции, комментарии, популярные религиозные практики (марабутизм, культ святых), отклонения и суеверия». Они стремятся вернуться к основополагающим текстам, избавиться от внешнего упадка, свергнуть правительство и установить фундаменталистское государство.;x
islamic_fundamentalists_army;Исламские фундаменталисты;x
theocracy;теократия;x
artillery_production_desc;Промышленная революция XIX века затронула практически все области человеческой деятельности, и артиллерийское производство не стало исключением. То, что раньше было длительным процессом литья бронзовых пушек, в руках светил индустрии, таких как Альфред Крупп или Хирам Максим, станет промышленно развитой и точной наукой.;x
australian;австралийский;x
serfdom_not_abolished;Крепостное право не отменено;x
theocratic_government;Теократическое правительство;x
communist_gov;Коммунистический режим;x
absolute_monarchy_gov;Абсолютная монархия;x
semi_constitutional_monarchy_gov;Полуконституционная монархия;x
constitutional_monarchy_gov;Конституционная монархия;x
democracy_gov;Демократия;x
presidential_dictatorship_gov;Президентская диктатура;x
fascist_gov;Фашистский режим;x
anarcho_liberal_gov;Анархо-либеральный режим;x
serfs;Крепостные;x
TRIGGER_STATE;Состояние;x
nv_autocracy;Самодержавие;x
nv_tradition;Традиция;x
nv_productivity;Производительность;x
french_claimed_the_rhine;Французские претензии на Рейн;x
CANAL_5;Пролив Дарданеллы;x
CANAL_4;пролив Босфор;x
MODIFIER_LAND_ATTACK;Атака сухопутных войск;x
MODIFIER_NAVAL_ATTACK;Атака морской части;x
MODIFIER_LAND_DEFENSE;Защита сухопутных войск;x
MODIFIER_NAVAL_DEFENSE;Защита морской части;x
PV_CLERGY_LIT_PROVIDES;Интеллектуальные провинции: $VAL$;x
PV_CLERGY_LIT_NUM;$NUM$ вашего населения — интеллектуалы (оптимально $OPT$): $VAL$;x
EDU_DESC;Образовательный бюджет используется для оплаты труда интеллектуалов и получения очков исследований.;x
PV_CLERGY_LIT_DESC1;$NUM$ вашего населения в $LOC$ — интеллектуалы.;x
POP_CON_CLERGY;интеллектуалы;x
promote_clergymen;Поощряйте интеллектуалов;x
land_attack_modifier;Модификатор атаки наземных юнитов;x
immigration_focus_desc;Мигранты на §Y$VAL$§W% чаще выбирают этот штат. Такой фокус повышает вероятность того, что иммигранты поселятся в этом штате, но не повышает вероятность того, что они выберут нашу страну.;x
emigration_focus;Поощряйте эмиграцию;x
emigration_focus_desc;Вероятность того, что население покинет этот регион, будет на §Y$VAL$§W% выше.;x
not_AI;Не ИИ;x
harassment_l;Преследуемые стороны;x
public_meetings;Публичные встречи;x
public_meetings_l;Публичные встречи;x
yes_meeting;Собрания разрешены;x
yes_meeting_desc;Разрешены публичные собрания и митинги.;x
no_meeting;Собрания запрещены;x
no_meeting_desc;Публичные собрания запрещены.;x
POLITICS_MATTERS_OF_STATE;Государственные дела;x
bureaucracy_ref;Бюрократия;x
bureaucracy_ref_l;Бюрократия;x
gentry;Джентри;x
gentry_l;Джентри;x
gentry_desc;Дворянство страны имеет больше всего высказываний в государственной бюрократии. Бюрократия чрезвычайно мала или сильно ограничена.;x
hereditary_bureaucracy;Наследственная бюрократия;x
hereditary_bureaucracy_l;Наследственная бюрократия;x
hereditary_bureaucracy_desc;Должности бюрократии в правительстве, официально или нет, передаются по наследству, что резко ограничивает всеобщий доступ к внутренней администрации государства. Обычно в этих местах находятся высшие классы общества, и система страдает от высокого уровня коррупции.;x
professional_civil_servants;Профессиональная государственная служба;x
professional_civil_servants_l;Профессиональная государственная служба;x
professional_civil_servants_desc;Бюрократия формируется из образованных граждан, сформированных в сфере государственного управления. Бюрократия не передается по наследству, и бюрократы выбираются (в основном) на основе принципов меритократии.;x
residency_desc;Эта партия поддерживает политику по ограничению гражданства и политических прав меньшинств и иммигрантов.;x
limited_citizenship_desc;Эта партия поддерживает политику по ограничению гражданства и политических прав людьми той же культурной группы этой нации.;x
full_citizenship_desc;Эта партия поддерживает равенство всех голосов.;x
movement_censored_press;Кампания за большую свободу прессы;x
revolution_n_counter_researched;Революция и контрреволюция исследованы;x
crisis_begin_researched;Кризисное событие спровоцировано;x
medicine_invented;Исследованная медицина;x
germs_invented;Изобретенная микробная теория;x
gaslights_invented;Изобретенные газовые фонари;x
electricity_invented;Исследовано электричество;x
germ_theory;Микробная теория и экспериментальная патология;x
germ_theory_desc;Микробная теория болезней утверждает, что некоторые болезни вызываются микроорганизмами. Эти маленькие организмы, слишком маленькие, чтобы их можно было увидеть без увеличения, вторгаются в людей, животных и других живых существ. Их рост и размножение внутри хозяев могут вызвать заболевание. Теория микробов была предложена в середине 16 века и получила широкое признание, когда была подтверждена научными открытиями 17-го и конца 19-го веков. Она вытеснила более ранние объяснения болезней, такие как теория миазмов Галена.;x
prussian_constitutionalism;Полуконституционная монархия;x
hms_government;Конституционная монархия;x
market_structure;Структура?Рынк?;x
former_sphere_leader;Бывший лидер сферы;x
former_overlord;Бывший Повелитель;x
cisplatina_is_ours;Цисплатина наша;x
pessimist;пессимист;x
MOR_1696;Западная Сахара;x
time_saving_measures;Эконом? Времен?;x
time_saving_measures_desc;Меры по экономии времени;x
FOCUS_OWNED_BY;Вы не можете размещать национальный фокус в чужой провинции, если только она не является потенциальной точкой воспламенения для ваших кор-героев. Поощрение напряженности в точке возгорания требует изучения Революции и Контрреволюции.;x
residency_desc;Голосовать могут только представители основной культуры вашей страны.;x
secularized_desc;Религия не является явно частью государственной политики, но государство приоткрывает шляпу перед традиционными религиозными ценностями.;x
dismantle_declared;Демонтирован;x
in_great_war;В Великой войне;x
THE_CAPITAL_IS;Столица;x
post_colonial_country;Постколониальная нация;x
mormon;Мормон;x
gypsy;цыган;x
eugen_von_bohm_bawerk;Ойген фон Бём-Баверк;x
eugen_von_bohm_bawerk_desc;Карьера Бем-Баверка как ученого была прерывистой. Наиболее значительным периодом научной деятельности были годы его учебы в Инсбрукском университете (1881–1889). Именно в 1880-х годах он впервые опубликовал два из трех томов своего великого опуса «Капитал и проценты». В его последние годы преобладали обязанности министра финансов Австрии, должность, которую он занимал, хотя и не постоянно, на протяжении 1890-х годов и позже, и за что он заслуженно удостоен чести иметь свое изображение на австрийской банкноте в сто шиллингов. После службы в этом качестве и выполнения других государственных обязанностей он вернулся к преподаванию в 1904 году. Заняв кафедру в Венском университете, он стал коллегой Визера, преемником вышедшего на пенсию Менгера. Среди студентов, прошедших через университет в последнее десятилетие карьеры Бём-Баверка (и жизни: он умер в 1914 году), были Йозеф Шумпетер и Людвиг фон Мизес.;
leon_walras;Леон Вальрас;x
leon_walras_desc;Французский экономист Леон Вальрас (произносится как «Вальрас») был провозглашен Йозефом Шумпетером как «величайший из всех экономистов». Вальрас был одним из трех лидеров маржиналистской революции, хотя его величайшая работа «Элементы чистой экономики» была опубликована в 1874 году, через три года после работ Уильяма Стэнли Джевонса и Карла Менгера. Тем не менее, единственный из трех революционеров Леон Вальрас изложил новую «маржиналистскую» или «неоклассическую» теорию в условиях формального общего равновесия. Таким образом, он наделил его многорыночными соображениями, которых Джевонс в значительной степени избегал, и математической точностью, которой избегал Менгер. Леон Вальрас широко и по праву считается отцом теории общего равновесия.;
jean_jaures;Жан Жорис;x
jean_jaures_desc;Жорис был избран в Палату депутатов в 1885 году. Потерпев поражение на выборах 1889 года, он вернулся в Тулузский университет. Он становился все более радикальным в своих политических взглядах и после прочтения Карла Маркса начал выступать за социализм. Он не был революционером и поддерживал независимых социалистов. Находясь вне парламента, Жорис завершил свою гигантскую «Социалистическую историю Французской революции». Он также присоединился к Аристиду Бриану и Рене Вивиани в 1904 году, чтобы основать левую газету L'Humanit? в 1904 году. Новая Социалистическая партия под руководством Жореса быстро росла в начале века, но раскололась из-за правильного ответа немецкому милитаризму. Жорис выступал за политику международного арбитража, тогда как другие поддерживали Тройственное согласие.;
johann_heinrich_von_thunen;Иоганн Генрих фон Тюнен;x
johann_heinrich_von_thunen_desc;Иоганн Генрих фон Тюнен был северогерманским землевладельцем из Мекленбурга. Несмотря на то, что он получил образование в Геттингене, большую часть своей жизни он провел, управляя своим сельским поместьем Теллоу. В первом томе своего трактата «Изолированное государство» (1826 г.) он изложил первую серьезную трактовку пространственной экономики, связанную с теорией ренты. Его второй том (1850 г.) математически точно развил сущность теории распределения предельной производительности, что сделало его одним из самых важных протомаржиналистов той эпохи. Перед смертью он попросил, чтобы его знаменитое уравнение для предельного продукта труда, или естественной заработной платы, было вырезано на его надгробии.;
colorado_rebels_title;Колорадос;x
colorado_rebels_name;Колорадские повстанцы;x
colorado_rebels_desc;Колорадо стремятся свергнуть правительство Бланко и привести к власти свою партию.;x
colorado_rebels_army;Колорадские повстанцы;x
blanco_rebels_title;Бланко;x
blanco_rebels_name;Бланко Ребелс;x
blanco_rebels_desc;Бланко стремятся свергнуть правительство Колорадо и привести к власти свою партию.;x
blanco_rebels_army;Бланко Ребелс;x
separatist_rebels_title;Патриот;x
separatist_rebels_name;$КУЛЬТУРА$ Патриоты;x
separatist_rebels_desc;Повстанцы-патриоты мечтают об объединении со своими культурными родственниками под свободным знаменем, и любая провинция, которую они получат под свой контроль, в конечном итоге перейдет на сторону соседней страны их культуры.;x
separatist_rebels_army;$КУЛЬТУРА$ Патриоты;x
afro_caribeno;афро латиноамериканец;x
NOT_STRONGER_ARMY_THAN;Не имеет более сильных вооруженных сил, чем;x
STRONGER_ARMY_THAN;Имеет более сильную армию, чем;x
beiyang_faction;Beiyang Faction;x
kuomintang_faction;Гоминьдан Фракция;x
neutral_faction;Часть не фракции;x
communist_faction;Коммунистическая фракция;x
mandatory_service;Обслуживание по требованию;x
mandatory_service_l;Обслуживание по требованию;x
mandatory_service_desc;Все взрослые мужчины должны служить в армии. Правительство может призывать призывников столько, сколько захочет.;x
movement_mandatory_service;Mandatory Service Movement.;x
four_year_draft;Four Year Draft;Four Year Draft;Four Year Draft;x
four_year_draft_l;Four Year Draft;Four Year Draft;Four Year Draft;x
four_year_draft_desc;Conscripts are drafted for four years.;Conscripts are drafted for four years.;Conscripts are drafted for four years.;x
movement_four_year_draft;Movement for Four Year Draft Implementation;x
two_year_draft;Two Year Draft;Two Year Draft;Two Year Draft;x
two_year_draft_l;Two Year Draft;Two Year Draft;Two Year Draft;x
two_year_draft_desc;Conscripts are drafted for two years.;Conscripts are drafted for two years.;Conscripts are drafted for two years.;x
movement_two_year_draft;Movement for Two Year Draft Implementation;x
one_year_draft;One Year Draft;One Year Draft;One Year Draft;x
one_year_draft_l;One Year Draft;One Year Draft;One Year Draft;x
one_year_draft_desc;Conscripts are drafted for one year.;Conscripts are drafted for one year.;Conscripts are drafted for one year.;x
movement_one_year_draft;Movement for One Year Draft Implementation;x
no_draft;No Draft;No Draft;No Draft;x
no_draft_l;No Draft;No Draft;No Draft;x
no_draft_desc;No conscription.;No conscription.;No conscription.;x
conscription;Conscription;Conscription;Conscription;x
movement_no_draft;Movement for the Abolition of the Conscription;x
yes_slavery_desc;Slavery is allowed.\n§RThis reform affects POP promotion chance - promotion will be slower, both globally and even more in slave states.§W\n§YPops in Slave states will be more conservative and less liberal. Immigrants are less likely to choose slave states.§W\n§GThe slave population will grow.§W;x
freedom_of_womb_desc;Slaves children are freed at birth and, in most cases, old slaves are also freed. The slave population stops growing. \n§RThis reform affects POP promotion chance - promotion will be slower, both globally and even more in slave states.§W\n§YPops in Slave states will be more conservative and less liberal. Immigrants are less likely to choose slave states.§W\n§RThe slave population will stop growing.§W;,;
movement_freedom_of_womb;Freedom of Womb Campaign;x,;
no_slavery_desc;Slavery is forbidden.;x
no_slavery_l;Outlaw Slavery;x
primary_culture_only_l;Primary Culture Only Rights;x
