;;
IS_IN_REGION;находится в регионе;
EVTDESC10222;Разгневанные толпы заполонили улицы Парижа, выкрикивая крики «Долой короля!» и «Да здравствует реформа!». Они возвели на улицах баррикады, и завязались бои с парижской муниципальной гвардией. Когда город был полностью закрыт от помощи извне, эти толпы двинулись на королевский дворец. У нашего короля не было другого выбора, кроме как отречься от престола и бежать из страны.;
EVTNAME10223;Государственный переворот Луи-Наполеона;
EVTDESC10223;Столкнувшись с перспективой проигрыша на президентских выборах, популярный Луи-Наполеон совершил государственный переворот и сверг французское правительство. Верные члены армии заблокировали стратегические объекты в Париже, а Национальная ассамблея была распущена, оставив Луи-Наполеону бесспорным правителем страны. Его окрестили Наполеоном III, вернув трон своего дяди в качестве императора Франции.;
EVTNAME10224;Император Наполеон свергнут;
EVTDESC10224;Возмущенное неспособностью Франции предотвратить образование Германии, а также унизительной потерей Эльзаса-Лотарингии, правительство низложило императора Наполеона. Мы должны выбрать, какую форму должно принять наше новое правительство.;
EVTNAME10225;Венгерская революция $YEAR$;
EVTDESC10225;В последние годы венгерский сейм становится все более независимым от австрийского правления. Фельдмаршал граф Франц Филипп фон Ламберг был отправлен в Венгрию, чтобы взять под личный контроль их армии, но по прибытии подвергся нападению. В ответ австрийское правительство приказало распустить венгерский сейм и установить запрет Хорватии на место Ламберга. Венгры отказались подчиниться, и теперь нам грозит гражданская война за сохранение целостности империи.;
EVTNAME10226;Наконец-то свобода!;
EVTDESC10226;Мы завоевали свободу от австрийского правления! Народ собрался в $CAPITAL$ в ликовании!;
EVTNAME10227;Венгерский вопрос;
EVTDESC10227;Венгерские земли по праву принадлежат нам. С их вновь обретенной свободой нам остается решить, следует ли нам отстаивать свои права на их земли или вместо этого попытаться примириться с венгерским правительством. Если они все-таки останутся враждебными, а мы не сможем их победить, то они станут очень опасным врагом на нашей границе. Однако признание их потери может стать ударом по нашему престижу, от которого мы никогда не оправимся.;
EVTNAME10228;Конституционная реформа;
EVTDESC10228;Поскольку вся нация готова свергнуть монархию, министры обратились к королю с советом по реформированию конституции, пока не стало слишком поздно. Потеря Бельгии уже сделала необходимым пересмотр. Включение положений, разрешающих прямые выборы в нижнюю палату, а также многочисленных свобод, которыми голландцы еще не пользуются, могло бы умиротворить либералов.;
EVTNAME10229;$COUNTRY_ADJ$ Восстание;
EVTDESC10229;Поскольку люди, казалось бы, готовы выломать наши двери, требуя конституционной реформы, возможно, нам следует подумать о том, чтобы дать им ее? Некоторые умеренные реформы, дающие массам право голоса, но сохраняющие высшую власть за $COUNTRY_ADJ$ аристократией и кайзером, должны нравиться им достаточно, чтобы рассеять этот сброд... пока.;
EVTNAME10400;Французская революция $YEAR$;
EVTDESC10400;Беспорядки во Франции в последнее время достигли своего апогея: толпы хлынули на улицы Парижа и возвели баррикады. В результате, которое многие расценили как несчастный случай, французский гвардеец выстрелил из мушкета в горожан и устроил резню. В результате пожар охватил город, толпы скандировали: «Да здравствует реформа!» и «Долой короля!». Несмотря на заверения, что все под контролем, король отрекся от престола и бежал из страны… оставив временное правительство, чтобы вмешаться и провозгласить Вторую республику.\n\nТеперь перед нами стоит задача построить это новое правительство, начиная с президентских выборов и заканчивая определить его нового главу государства. Учитывая популярность Луи-Наполеона Бонапарта в массах и предоставление всеобщего права голоса, некоторые обеспокоены тем, что он действительно может взять на себя руководство. Если он это сделает, кто знает, что это может означать для Франции?;
EVTNAME10401;Президентские выборы;
EVTDESC10401;Хотя ожидалось, что Луи-Наполеон Бонапарт преуспеет на президентских выборах во Франции, никто не мог рассчитывать на то, что он преуспеет. Несмотря на свои автократические наклонности и отсутствие союзников в Париже, ему удалось быть чем-то для всех… даже заручиться поддержкой орлеанистов. Кандидат временного правительства Луи-Эжен Кавеньяк возглавил усилия по подавлению восстания в городе, что вызвало недовольство масс, вылившееся в оползень Наполеона. Многие опасаются, что этот человек слишком сильно подражает своему печально известному дяде, и поэтому возникла идея назначить выборы, чтобы обеспечить победу Кавеньяка. Это потребовало бы от нас ограничения всеобщих страданий, а также приглушения газет и политических оппонентов. В любом случае идеалы Второй республики, похоже, находятся под угрозой компромисса.;
EVTNAME10402;Наполеон побеждает на выборах!;
EVTDESC10402;Луи-Наполеон Бонапарт пришел к власти в качестве нового главы государства Франции. Этот человек несет с собой наследие своего печально известного дяди, а вместе с ним и поддержку масс. Однако у него нет друзей в Париже, почти все из которых нервничают из-за возможности того, что он может решить пойти по стопам своего дяди.;
EVTNAME10405;Государственный переворот Луи-Наполеона;
EVTDESC10405;Не сумев заставить Верхнюю палату отменить запрет на переизбрание президента и отстранение от власти, популярный Луи-Наполеон совершил государственный переворот и сверг французское правительство. Верные члены армии заблокировали стратегические объекты в Париже, а Национальная ассамблея была распущена, оставив Луи-Наполеону бесспорным правителем страны. Его окрестили Наполеоном III, вернув трон своего дяди в качестве императора Франции.;
EVTNAME10410;Император Наполеон свергнут;
EVTDESC10410;Популярность Луи-Наполеона пошла на убыль. Там, где когда-то ожидалось, что его восхождение вернет Францию ??к величию, которое она испытала во время правления его дяди, вместо этого Франция видит, что ее затмевают ее соседи. Император нажил много врагов среди парижских либералов, и теперь они выбрали момент для удара. Наполеон свергнут, и остается только вопрос, какую форму примет теперь Франция. Должны ли мы восстановить династию Бурбонов во главе с графом Шамбором, избрать конституционную монархию Бурбонов во главе с графом де Пари или вместо этого выбрать Третью республику?;
EVTNAME10411;Смерть Наполеона;
EVTDESC10411;Луи-Наполеон в последние месяцы заболел, постепенно уступая все больше и больше земель Верхней палате. Таким образом, его смерть не стала неожиданностью для многих. Оплакиваемый всей нацией и его любимой императрицей Евгенией, теперь вопрос сводится к тому, кто последует за ним. Его сыном и наследником станет Наполеон IV… но он все еще молодой человек, стремящийся соответствовать оставленному ему наследию. Другие отдают предпочтение популярному парижскому графу Бурбонов. Однако еще больше людей утверждают, что это идеальный момент, чтобы восстановить республику и покончить с монархией раз и навсегда.;
EVTNAME11100_NEW;Объединение $CULTURE_GROUP_UNION$;
EVTDESC11100_NEW;Начала распространяться волна либерального национализма внутри $CULTURE_GROUP_UNION$, подняв идею союза $UNION_ADJ$ с $COUNTRY$ во главе. Созван парламент либеральных революционеров с представителями всех земель $UNION_ADJ$, который постановил, что нации пора объединиться под одним знаменем. Нам парламент предложил корону $CULTURE_GROUP_UNION$. Мы могли бы принять это предложение, но это вызвало бы международную тревогу и потребовало бы от нас политической компенсации революционерам.;
EVTNAME11104;Революция в $FROMCOUNTRY$!;
EVTDESC11104;В $FROMCOUNTRY$ произошла революция в поддержку $UNION_ADJ$. Его либеральные лидеры считают, что $COUNTRY$ является нацией, которая лучше всего подходит для объединения всего $CULTURE_GROUP_UNION$, и поэтому поклялись поддерживать нас до тех пор, пока объединение не будет готово.;
EVTNAME11106;Предложение $FROMCOUNTRY_ADJ$;
EVTDESC11106;$MONARCHTITLE$, посол $FROMCOUNTRY_ADJ$ представил нам новости с недавнего парламента немецких революционеров. $FROMCOUNTRY$ согласилось создать федерацию немецких государств с целью в конечном итоге сформировать великую Германию. Если мы не договоримся, то возможно, что $FROMCOUNTRY$ попытается силой забрать наши земли.;
EVTNAME11108;Славянское Объединение;
EVTDESC11108;Прозвучал призыв к славянским народам Балкан наконец объединиться под общим знаменем, противостоять посягательствам австрийцев и турок, а также других европейских держав. Говорят, что Югославия станет державой, способной соперничать даже со своими самыми могущественными соседями. Сможет ли эта новая нация сплотить народ, разделенный столетиями ожесточенных войн, лучше оставить для предположений.;
EVTNAME11109;Создание Великой Финляндии;
EVTDESC11109;Прозвучал призыв к угорским народам Великой Финляндии наконец объединиться под общим знаменем, чтобы противостоять посягательствам русских, а также других европейских держав. Говорят, что эта новая нация будет силой, способной соперничать даже со своими самыми могущественными соседями.;
EVTNAME11110;Северогерманский союз?;
EVTDESC11110;Среди либералов в $COUNTRY$ идет открытая дискуссия по поводу образования конфедерации северогерманских земель. В прошлом для этого никогда не было подходящих условий, но многие считают, что такой союз необходим, если немцы когда-либо хотят обрести настоящую безопасность и занять свое место среди мировых держав. Возглавляемое $COUNTRY_ADJ$ движение за создание такой конфедерации могло бы понравиться нашим соседям, если бы мы попытались его создать.;
EVTNAME11115;Великий Славянский Союз;
EVTDESC11115;Многие в $COUNTRY$ всегда считали мечтой создать более великий союз славянских народов, охватывающий все Балканы и объединяющий их под общим флагом. Такая нация была бы гораздо лучше приспособлена для сопротивления вторжению иностранных держав в регион. Похоже, сейчас у $COUNTRY$ есть прекрасная возможность сформировать такой союз. Продолжим ли мы создание Югославии или позволим мечте умереть здесь?;
EVTNAME11120;Славянское Объединение;
EVTDESC11120;В $COUNTRY$ поступил призыв объединиться с Югославией, союзом славянских стран, заинтересованных в защите Балкан от посягательств других европейских держав. Трудно сказать, будет ли союз культур, которые до сих пор часто находились в состоянии войны и действительно все еще имеют значительную вражду друг к другу.;
EVTDESC19006;Наша независимость постепенно подрывается и все больше и больше становится чем-то, что существует только на бумаге, поскольку несколько иностранных великих держав соперничают за контроль над нашими политическими институтами. Недавно вспыхнула напряженность между несколькими великими державами, каждая из которых борется за господство над нашим правительством. Если кто-то из них попытается утвердиться в $COUNTRY$, это будет означать конфликт с нашим правительством, другими великими державами и, возможно, даже войну.;
EVTOPTA13000;Западников впускаем в $COUNTRY$, лишь бы не мешали.;
EVTOPTB13000;Они приносят опасные идеи. $COUNTRY$ откажет им во всем доступе.;
EVTNAME13010;Моряки, потерпевшие кораблекрушение;
EVTDESC13010;Старый пруд\nЛягушка прыгает в воду —\nЗвук воды.'\n-- Мацуо Басё\nОдна из наших прибрежных провинций кишит слухами о странных людях, которые были найдены на берегу сегодня утром. Более точное происхождение этих потерпевших кораблекрушение моряков пока неизвестно, но, откуда бы они ни были, они точно не из $COUNTRY$. Трудность теперь заключается в том, чтобы решить, что с ними делать: если мы отправим их домой, мы фактически изменим нашу политику невзаимодействия с жителями Запада. Игнорировать их и позволить им остаться, однако, означает разрешить западное присутствие в $COUNTRY$, несмотря на все наши усилия.;
EVTOPTA13010;Отправьте их домой.;
EVTOPTB13010;Позвольте им остаться.;
EVTNAME13015;Иностранные контрабандисты;
EVTDESC13015;Один из наших субъектов был обнаружен в иностранной одежде, и дальнейший допрос властями привел к постепенному раскрытию сети иностранных контрабандистов. Эти иностранцы входят в $COUNTRY$ без разрешения, зная, что им грозит казнь, если их поймают, однако некоторые из наших советников говорят, что в их присутствии есть преимущества, поскольку они могут удовлетворить нужды сотрудников $COUNTRY_ADJ$, чего мы не можем.;
EVTNAME13016;Контрабандисты продают опиум;
EVTDESC13016;Неудивительно, что иностранная банда контрабандистов в одной из наших провинций была поймана с поличным, продавая опиум местным жителям.;
EVTNAME13020;Иностранные миссионеры;
EVTDESC13020;Несмотря на нашу политику недопуска иностранцев в $COUNTRY$, было обнаружено, что группа иностранных миссионеров путешествует среди нашего народа и распространяет свою религию. Хотя мы имеем полное право казнить их на месте, это повышает вероятность конфронтации с их родной страной. Хотим ли мы рисковать такой войной ради нескольких священников?;
EVTNAME13021;Миссионеров казнили в $FROMCOUNTRY$;
EVTDESC13021;Мы получили сообщения о казни ряда наших миссионеров в $FROMCOUNTRY$ в рамках акции $FROMCOUNTRY_ADJ$ по задержанию всех неугодных иностранцев. Миссионеры были миролюбивы, а общественность $COUNTRY_ADJ$ по понятным причинам возмущена. Многие считают, что война необходима, в то время как другие считают, что потенциал войны с $FROMCOUNTRY$ просто не стоит того. Ведь миссионеры знали, что в $FROMCOUNTRY$ их не пускают.;
EVTNAME13030;Западные подходы;
EVTDESC13030;До нас доходит известие, что в одном из наших городов образовалась диаспора иностранцев из разных европейских стран и великих держав. Несомненно, это прямое следствие проводимой нашим правительством политики открытых портов и границ. Этот приток может быть положительным, как, кажется, считает наше правительство, однако некоторые голоса говорят об иностранцах менее любезно.;
EVTNAME13031;Жестокие оскорбления!;
EVTDESC13031;Группе граждан $COUNTRY_ADJ$, выехавших некоторое время назад из $COUNTRY$ в экспедицию в $FROMCOUNTRY$, злостно отказано во въезде в страну. Представляется, что правительство $FROMCOUNTRY_ADJ$ постепенно перешло к политике усиления изоляционизма, скорее всего, для того, чтобы избежать усилий по модернизации своих политических, экономических и социальных институтов. Эта политика правительства $FROMCOUNTRY_ADJ$, очевидно, препятствует развитию торговли, дипломатии и миссионерской деятельности $COUNTRY_ADJ$ в регионе и должна рассматриваться как несправедливое ограничение международной свободы передвижения.;
