EVTOPTA22581;Нам нужно защитить экономику $COUNTRY_ADJ$.;
EVTOPTB22581;Мы хотим сохранить гибкость в нашей торговой политике.;
EVTNAME46610103;Арбитраж Такна-Арика;
EVTDESC46610103;После Тихоокеанской войны Перу потерпело поражение и было вынуждено подписать Ансенский договор. По этому договору Тарапак был присоединен к Чили. Однако судьбу Такны и Арики должен был решить плебисцит, который должен был состояться в 1893 году. Из-за разных точек зрения обе страны не смогли договориться об условиях этого плебисцита, и поэтому он не был проведен. Затем Чили начала колонизировать две территории, и Перу ответило разрывом дипломатических отношений. В $YEAR$ Чили и Перу согласились разрешить спор с $MONARCHTITLE$ $COUNTRY$. Была сформирована комиссия по вопросу о том, кому принадлежит Такна, и теперь осталось только их окончательное решение.;
EVT46610103OPTA;Такна принадлежит Перу.;
EVT46610103OPTB;Такна принадлежит Чили.;
EVTNAME46610102;$YEAR$ Договор $CAPITAL$;
EVTDESC46610102;Когда Боливия стала независимой от Испании в 1825 г., она получила во владение территории, которые соответствовали ее колониальному управлению в соответствии с uti possidetis juris 1810 г. Боливия претендовала на морскую территорию к западу от Анд до Тихого океана между реками Рио-Саладо и на юге и Рио-Лоа на севере, включая часть пустыни Атакама. Позже, в середине 19 века, Чили заявила права на пустыню после открытия и эксплуатации месторождений нитратов и массового переселения своего населения на работу в недавно обнаруженные богатства в Антофагасте. Из-за этого последующие десятилетия были свидетелями большого кровопролития на границах Боливии, Перу и Чили. $FROMCOUNTRY$ внесло предложение, получив международное одобрение, решить эту проблему мирным путем и установить условия новых границ, выплатив контрибуции всем причастным. Региональные власти обратили на нас внимание, ожидая нашей реакции и последствий для будущего региона Антофагаста.;
EVT46610102OPTA;Мы согласны. Оставим наши разногласия позади.;
EVT46610102OPTB;Мы никогда не будем вести переговоры с этими ворами.;
EVTNAME810008;$FROMCOUNTRY$ соглашается помочь;
EVTDESC810008;Правительство $FROMCOUNTRY_ADJ$ согласилось возместить Копенгагену убытки в связи с отменой звуковой пошлины.;
EVTOPTA810008;Хороший.;
EVTNAME810003;$CAPITAL$ Конвенция $YEAR$;
EVTDESC810003;Дипломаты $FROMCOUNTRY_ADJ$ вместе с представителями других великих держав собрались в $CAPITAL$ для обсуждения вопроса о Датских проливах и, в частности, о Звуковых пошлинах. Ссылаясь на тот факт, что морские державы мира становятся все менее и менее терпимыми к этим сборам и ограничениям, они лоббируют отмену сборов и обязательство превратить все датские проливы в международные водные пути, свободные для всех военных и торговых судов. . В качестве компенсации за отмену государство $COUNTRY_ADJ$ получит единовременный сбор в размере 300 000¤. Хоть соглашение и дружеское, но великие державы ясно дали понять, что готовы применить силу, чтобы открыть проливы, если до этого дойдет.;
EVTOPTA810003;Мы будем рады внести свой вклад в более справедливую торговлю.;
EVTOPTB810003;Никогда. Плата за проезд слишком важна для $COUNTRY$.;
EVTNAME810004;Плата за звук отменена;
EVTDESC810004;В $YEAR$ после нескольких дней ожесточенных переговоров великие державы мира подписали в столице $FROMCOUNTRY_ADJ$ договор об отмене всех сборов в Датских проливах, превратив их в международные водные пути, свободные для всех военных и торговых судов. Правительству $FROMCOUNTRY_ADJ$ выплатить компенсацию в размере 300 000¤. $COUNTRY_ADJ$ выступает в качестве гаранта, выплачивая не менее одной трети от общей суммы, в то время как две другие европейские великие державы, делающие ставку на переговоры, должны будут заплатить оставшиеся две трети. После более чем четырех столетий взимания пошлин датские проливы теперь свободны для торговли.;
EVTOPTA810004;Мы заплатим наш третий и ничего больше.;
EVTOPTB810004;Нам больше никто не нужен. Мы можем оплатить все.;
EVTNAME810005;Сборы звуков;
EVTDESC810005;$FROMCOUNTRY$ призвало к соглашению об использовании Датских проливов, и мы, как одна из великих держав мира, обязаны были на нем присутствовать. После положительного решения дипломаты $FROMCOUNTRY_ADJ$ теперь пытаются собрать оставшиеся деньги для оплаты сделки, и они утверждают, что наши корабли и наша торговля в целом получат большую выгоду от открытия Датских проливов. На основании этого они утверждают, что мы должны внести свой вклад в компенсацию, причитающуюся датскому контролеру проливов. Мы, конечно, этим не связаны - можем отказаться, но это не только повредит нашему имиджу в глазах других стран, но и разозлит $FROMCOUNTRY$: они почувствуют, что мы им в долгу.;
EVTOPTA810005;Мы с радостью внесем свой вклад в свободную торговлю.;
EVTOPTB810005;Можем ли мы платить по частям?;
EVTOPTC810005;Мы отказываемся платить что-либо.;
EVTNAME810006;$FROMCOUNTRY$ отказывается внести свой вклад;
EVTDESC810006;Правительство $FROMCOUNTRY_ADJ$ отказалось внести свою лепту и помочь в выплате компенсаций за открытие Звукового Толя. Мы как поручители должны их убедить - либо покрыть расходы, а потом собрать деньги с $FROMCOUNTRY$.;
EVTOPTA810006;Мы заплатим то, что они должны. Они заплатят позже.;
EVTOPTB810006;Платите понемногу.;
EVTOPTC810006;Мы не покроем долг другой страны.;
EVTNAME810007;Стенд $FROMCOUNTRY_ADJ$ Непокорный;
EVTDESC810007;Переговоры в столице $FROMCOUNTRY_ADJ$ прервались, так как рушится съезд, созванный $COUNTRY$. $FROMCOUNTRY$ заявило, что их право собственности на датские проливы дает им право регулировать проливы по своему усмотрению. Этот шаг, несомненно, вызовет гнев великих держав, которые стремились снести барьеры для морской торговли, и ситуация быстро перерастает в кризис.;
EVTOPTA810007;Они заплатят за переход нас.;
EVTNAME167000;Друзское восстание;
EVTDESC167000;Начиная с Крестьянского восстания 1834 года в Палестине, дворяне-друзы возмущались надзором. Их повелители считали их еретиками и относились к ним соответственно. В годы после крестьянского восстания требовался призыв на военную службу, чтобы укрепить то, что египетская армия потеряла в ходе восстания. В $YEAR$ ополченцы друзов восстали против своих египетских правителей в Хауране и разгромили отряд из 400 человек во главе с Али Агой аль-Бусайли, губернатором Хаурана. Затем последовал ряд других небольших экспедиций, но они не смогли добиться решающей победы. Друзы из Горного Ливана наводнили силы друзов, поскольку стычки продолжались в течение следующих нескольких месяцев. Спустя несколько месяцев друзы потерпели решительное поражение в Вади-Бакка от египетских войск. После этого силы друзов в Палестине разграбили еврейский квартал Цфата, в то время как основные силы двинулись на юг, где были решительно разгромлены в Шебаа и вскоре сложили оружие.;
EVT167000OPTA;Остановите это восстание любыми средствами.;
EVTNAME167010;Конфликт на горе Ливан;
EVTDESC167010;После многих лет рабства у хозяев-друзов и высоких налогов крестьяне-марониты восстали против своих хозяев на Горном Ливане. Их встретили нерегулярные друзы, которых поддержала знать. Конфликт охватил регион, в восточном Ливане произошло несколько массовых убийств, и кажется, что это только начало. Наши офицеры неохотно вмешиваются в христианские дела, но, тем не менее, перебрасывают свои силы в этот район. Что нам делать?;
EVT167010OPTA;Этот мелкий конфликт нас не касается.;
EVT167010OPTB;Мы должны остановить этот конфликт, пока он не закончился.;
EVTNAME167020;$YEAR$ Гражданская война в Горном Ливане;
EVTDESC167020;Новости о том, что Левант охвачен гражданской войной, достигли улиц Парижа. Христиане были убиты, а церкви сожжены дотла по всему Ливану и Дамаску. Османские силы не сделали ничего, чтобы подавить насилие и только наблюдают. В 1523 году Франция поклялась, что защитит христиан, живущих на Ближнем Востоке, от конфликтов, и европейские державы заставили нас оставаться верными своему слову. Что нам делать?;
EVT167020OPTA;Отправьте силы для восстановления мира и разработайте постановление, чтобы это больше не повторилось.;
EVT167020OPTB;К сожалению, в данный момент мы не можем вмешаться.;
EVTNAME167030;Восстание хауранских друзов;
EVTDESC167030;Недавний экономический рост принес новый бизнес в район вокруг Джебель-ад-Друза на юге Сирии. Такое расширение обошлось дорого, поскольку необходимо взимать налоги, чтобы платить за железные дороги и другую инфраструктуру, что вызвало недовольство местных жителей. Хозяйственный спор между местным вождем друзов и торговцами, поддерживаемыми $COUNTRY_ADJ$. Наши офицеры собрали 35 батальонов и быстро положили конец восстанию, убив многих друзов, проживающих в этом районе, и разоружив тех, кто сдался.;
EVT167030OPTA;Очень хорошо.;
EVTNAME168000;Шелковый бум на горе Ливан;
EVTDESC168000;Благодаря особой защите, которую им гарантировали французы, экономика маронитов, движимая увеличением производства шелка, процветала. Карманы маронитов теперь были наполнены столь необходимыми деньгами, а вместе с ними пришло стремление к лучшему образованию и демографический бум. Впервые многие женщины получили индивидуальный доход и стали искать лучших условий как в своей работе, так и в общественной жизни.;
EVT168000OPTA;Большой.;
EVTNAME168010;Шелковый бюст горы Ливан;
EVTDESC168010;С открытием Суэцкого канала и увеличением экспорта шелка из азиатских земель цена ливанского шелка упала вдвое и так и не восстановилась. Демографический бум, который когда-то пережил Горный Ливан, привел к увеличению населения, которое больше не могло поддерживать себя на ливанской земле. Многие мужчины и женщины мигрировали на запад в поисках лучшей работы. Хотя некоторые из них вернулись спустя годы, многие навсегда осели в своих новых странах.;
EVT168010OPTA;Проклятие.;
EVTNAME168020;Баальбек: Древние руины;
EVTDESC168020;Посещая холмы вокруг ливанского города Баальбек, некоторые из наших соотечественников заметили большое количество римских руин, сохранившихся в сухой среде. Когда они вернулись с этой новостью, на место была отправлена ??группа археологов. Им удалось задокументировать и каталогизировать большое количество артефактов с этого сайта. Наиболее примечательные из них включают осколки персидской керамики, датируемые 6 веком до нашей эры. Эти черепки украшены клинописью.;
EVT168020OPTA;Большой!;
EVTNAME168030;Миссионеры в Бейруте;
EVTDESC168030;В начале 19 века Ливан посещало все больше западных миссионеров. Многие из этих миссионеров открыли школы и типографии в Бейруте, которые обслуживали христианское население города. Несмотря на этот недавний всплеск, образование не было новой концепцией для ливанских христиан. Сирийская типография была основана в 1610 году, а иезуиты основали школу в 1624 году. Американские миссионеры начали свою деятельность в 1834 году с еще одной типографии и школы. К середине 1840-х годов плантагеновские миссионеры отметили, что от четверти до трети мужчин в Ливане были грамотны, а к началу 20-го века почти половина всех ливанских детей умела читать — подвиг, с которым вряд ли можно было сравниться где-либо за пределами Запад в то время.;
EVT168030OPTA;Большой!;
EVTNAME168050;Катар просит защиты;
EVTDESC168050;Верный нам кувейтский генерал привез шейху Катара несколько турецких флагов. Шейх раздал их членам своей семьи, которые летали на них по полуострову. Британцы, которые считали, что это было прямым делом турок, чувствовали, что их владения в Персидском заливе находятся под угрозой захвата Османской империей, и отправили канонерскую лодку к побережью Катара. В ответ на это шейх Катара направил своего представителя за запросом солдат и снаряжения.;
EVT168050OPTA;Обещай им защиту.;
EVT168050OPTB;Мы не можем гарантировать защиту.;
EVTNAME168060;Катарские беспорядки;
EVTDESC168060;Бремя османской бюрократии и правления вызвало восстание катарской знати в нашем катарском владычестве. Наши официальные лица в Багдадском вилайете направили солдат для подавления этого восстания, которые осадили форт Аль-Ваджба. Наши солдаты не смогли взять форт и отступили к нашему форту в Шебаке, где его осадили катарцы. После того, как повстанцы перекрыли им подачу воды, наши солдаты сдались и получили возможность покинуть полуостров в обмен на освобождение катарских пленных.;
EVT168060OPTA;Взрыв!;
EVTNAME168070;Катар желает независимости;
EVTDESC168070;Вопрос о нашем катарском владычестве вновь поднял свою уродливую голову. Каким будет будущее Катара?;
EVT168070OPTA;Катар будет независимым.;
EVT168070OPTB;Отмените прямое правление, но потребуйте от них лояльности.;
EVT168070OPTC;Они выбрали свою судьбу много лет назад.;
EVTNAME110080;$FROMCOUNTRY$ ищет защиты;
EVTDESC110080;«Я отдаю себя и свою страну правительству $COUNTRY_ADJ$ на определенных условиях, о которых мы можем договориться между вашим превосходительством и мной. Все те вещи, которые я отдал в твои руки... они все еще твои. Я по-прежнему остаюсь скромным слугой правителя $COUNTRY_ADJ$».\n\nПоскольку цивилизованные страны стремились расширить свою территорию, глава $FROMCOUNTRY$ стал все более опасаться потенциальной войны. Сегодня мы приняли делегатов $FROMCOUNTRY_ADJ$, ищущих защиты. В обмен на обещание не аннексировать их, они станут нашими верными подданными и примут нашу религию.;
EVT110080OPTA;Мы приветствуем наших новых субъектов.;
EVT110080OPTB;Они могут постоять за себя.;
EVTNAME6016814;Удаление партийной лояльности;
EVTDESC6016814;Это событие удалит всю лояльность к группе с самого начала игры.;
EVT6016814OPTA;Как и должно быть.;
EVTNAME97082;Кризис в Тихом океане;
EVTDESC97082;За последнее десятилетие было основано несколько компаний для разработки месторождений селитры на территории Боливии и Перу, в основном с участием британского капитала. Спрос на этот конкретный товар принес деньги и стабильность во многие страны Анд и впоследствии стал известен в некоторых из них как Эра Гуано. Однако эти компании базируются в Чили или имеют контрольный пакет акций в руках чилийских инвесторов, часто политиков. Вдобавок ко всему, чилийские рабочие постоянно пересекают границы, чтобы работать на этом вновь обретенном богатстве, побуждая чилийцев претендовать на эти месторождения. Отношения между заинтересованными странами охладели, и после провозглашения монополии на право разведки салитрерас, нового налога на иностранное производство нитрата натрия и экспроприации нескольких шахт война в регионе, похоже, разразится более чем вероятно. .;
EVT97082OPTA;Готовьтесь к войне.;
EVT97082OPTB;Ставка наше время.;
EVT97082OPTC;Нам ничего из этого не нужно. Не трогай проблему, пока проблема не трогает тебя.;
EVTDESC97083;За последнее десятилетие было основано несколько компаний для разработки месторождений селитры на территории Боливии и Перу, в основном с участием британского капитала. Спрос на этот конкретный товар принес деньги и стабильность во многие страны Анд и впоследствии стал известен в некоторых из них как Эра Гуано. Однако эти компании базируются в Чили или имеют контрольный пакет акций в руках чилийских инвесторов, часто политиков. Вдобавок ко всему, чилийские рабочие постоянно пересекают границы, чтобы работать на этом вновь обретенном богатстве, побуждая чилийцев претендовать на эти месторождения. Отношения между заинтересованными странами охладели, и после провозглашения монополии на право разведки салитрерас, нового налога на иностранное производство нитрата натрия и экспроприации нескольких шахт война в регионе, похоже, разразится более чем вероятно. . Сообщалось о нескольких наблюдениях чилийских кораблей, и если мы не примем меры сейчас, мы можем потерять свою территорию.;
EVTNAME97081;Конец серебряной лихорадки;
EVTDESC97081;В 1832 г. старатель Хуан Годой нашел обнажение серебра в 50 км к югу от Копиапу в Чакарсильо. Годой успешно заявил права на обнаруженное обнажение на свое имя, а также на имя Хосе Годоя и Мигеля Галло. Находка привлекла сюда тысячи людей и принесла значительные богатства. В период расцвета Чакарсильо здесь добывалось более 332 тонн серебряной руды, пока в 1874 году месторождения не начали истощаться. Но к 1855 году Копиапу уже пришел в упадок. В конце серебряной лихорадки богатые шахтеры диверсифицировали свои активы в банковское дело, сельское хозяйство, торговлю и коммерцию по всему региону и $COUNTRY$.;
EVT97081OPTA;Штопать.;
EVTNAME9990001;Территориальная интеграция;
EVTNAME9990003;Компания отказывается;
EVTNAME9990004;Компания соглашается;
EVTDESC9990003;Так и быть.;
EVTNAME9990005;Конец Британской Индии;
EVTNAME9990006;Британская корона потерпела поражение;
EVTDESC9990006;EIC победил британскую корону ради Индии.;
EVT9990007OPTA;Темный день.;
EVTNAME9990008;Конец Ост-Индской компании;
EVTNAME9990010;Новая игрушка;
EVT9990010OPTA;Аккуратный!;
EVT9990007OPTA;Это просто не выдержит.;
EVT9990008OPTA;Посмотрим, как они попробуют!;
EVT9990008OPTB;Мы будем соблюдать их пожелания.;
EVTNAME9990016;Образование Ост-Индской компании;
EVTDESC9990016;Ост-Индская компания — колониальная администрация Британской Индии.;
EVTOPTA9990016;Пусть Компания процветает.;
EVTDESC15310;Пока она идет по городу, уворачиваясь от теней, как от солдат $COUNTRY_ADJ$, освещенная башня с часами, кажется, смотрит на нее подлым, зараженным желтым глазом. Она уже опаздывает, но занятия еще продолжаются.\n\nВ $PROVINCENAME$ образовался подпольный университет, предоставляющий высшее образование, несмотря на запрет языков меньшинств в академических кругах.;
EVTNAME90141;$FROMCOUNTRY_ADJ$-$COUNTRY_ADJ$ $CAPITAL$ Договор $YEAR$;
EVTDESC90141;$FROMCOUNTRY$ пренебрегало оккупацией большой территории в заливе Биафра, на которую оно имело исторические права, а $COUNTRY_ADJ$ активно расширяло свою оккупацию за счет территории, на которую претендует $FROMCOUNTRY$. По крайней мере, они так утверждают, и другие великие державы, кажется, в основном с ними согласны. Было предложено урегулирование, при котором они получат часть того, на что они претендуют, и проблема будет решена. Согласно условиям договора, Рио-Муни будет освобожден от всех противоречивых требований. $FROMCOUNTRY$ останется всего лишь 26 000 км2 из 300 000 км2, простирающихся на восток до реки Убанги, на которые они первоначально претендовали. Мы, конечно, можем игнорировать все это, но наша репутация наверняка пострадает.;
EVT90141OPTA;У них будет своя земля.;
EVT90141OPTB;Так не пойдет.;
EVT13370OPTA;Во славу династии Цин!;
EVT13365OPTA;Земля принадлежит нам!;
EVT13365OPTB;Дезавуировать все сведения об их деятельности.;
EVTDESC12080;Среди скота в $PROVINCENAME$ вспыхнула странная лихорадка, сообщается о массовой гибели скота. Ветеринар местного гарнизона объехал всю провинцию, пытаясь выяснить, что можно сделать, чтобы предотвратить последствия этой, по-видимому, довольно заразной болезни. Хотя сама болезнь со временем исчезнет, ??вопрос о возмещении ущерба сотням разорившихся фермеров и их семей по-прежнему требует внимания.;
EVTDESC36941;Случилось так, что рабыня Хеке по имени Котиро жила в Корорареке с мясником по имени Лорд. Хеке, имеющий цветное право вернуть своего раба. Карере [посланник] был отправлен вперед, чтобы объявить о намерении, и сообщение было доставлено женщине в мясной лавке. Котиро, презрительно отвечая на их власть увести ее, указывая на одного из кабанов, сказал: ина а хеке [то есть хеке]. В любом случае Хеке использовал оскорбление как повод войти в город, чтобы потребовать от Господа плату в качестве компенсации за оскорбление. В удовлетворении было отказано: несколько дней Хеке и его воины оставались в городе, настаивая на требовании, а на самом деле нащупывая дорогу, испытывая пакеха. Затем они перешли к флагштоку, который намеренно срезали, намеренно с намерением оскорбить правительство и выразить свое презрение к власти $COUNTRY_ADJ$. флагшток в Корорареке неоднократно срубали в знак протеста.;
EVTNAME31100;Открытие Трои;
EVTDESC31100;Раскапывая эту стену дальше и прямо у дворца царя Приама, я наткнулся на большой медный предмет самой замечательной формы, который привлек мое внимание тем более, что мне показалось, что я увидел за ним золото. Чтобы изъять клад от жадности моих рабочих и сохранить его для археологии, я немедленно объявил обеденный перерыв и, пока люди ели и отдыхали, вырезал клад большим ножом. Однако мне было бы невозможно вывезти Сокровище без помощи моей дорогой жены, которая стояла рядом со мной, готовая упаковать вырезанные мною вещи в свою шаль и унести их.\n$COUNTRY_ADJ$ раскопал археолог остатки затерянного города Троя в Анатолии, а также другие многочисленные находки так называемых «эгейских цивилизаций». Найденные клады были названы «кладом Приама» и приобретены несколькими музеями $CAPITAL$. Эти открытия привели к взрыву талантов в археологии и захватили воображение миллионов.;
EVTNAME21527;$YEAR$ $PROVINCENAME$ Землетрясение;
EVTDESC21527;Бесчисленное количество людей вышли на открытые улицы, прежде чем разразился окончательный крах. Стены рухнули справа от них, крыши рухнули слева, карнизы и дымоходы рухнули перед ними, а смерть следовала за ними, чтобы уничтожить любого, кто колебался или останавливался. Другие, бесчисленное множество, опоздали или оказались в плену заклинивших дверей и упавших лестниц.\nВ $YEAR$ произошло землетрясение в $PROVINCENAME$, сильно повредившее здания. В то время как власти $COUNTRY_ADJ$ все еще подсчитывают раненых и подсчитывают стоимость ущерба, гуманитарная помощь медленно прибывает.;
EVTNAME46800;Затерянный город инков;
EVTDESC46800;Считается, что это поместье, построенное для императора инков Пачакути, Мачу-Пикчу был построен около 1450 года, но был заброшен столетие спустя во время испанского завоевания. Хотя он был известен на местном уровне, он не был известен испанцам в колониальный период и оставался неизвестным для внешнего мира, пока историк $COUNTRY_ADJ$ не привлек к нему международное внимание в $YEAR$. Мачу-Пикчу был построен в классическом стиле инков с полированными стенами из сухого камня. Его три основные постройки - это Инти Ватана, Храм Солнца и Комната Трех Окон. Исследователи $COUNTRY_ADJ$ полагают, что это легендарный «Потерянный город инков», последняя столица инков, основанная инками Манко, но утраченная веками, огнем и сталью испанского завоевания.;
